ObsType,LocalDate,LocalTime,Latitude,Longitude,BortleClass
GAN,2025-11-16,23:05,34.9592083,-116.419389,5
GAN,2025-11-16,21:43,34.7851899,-114.906398,7
GAN,2025-11-16,21:15,34.103405,-115.1625419,3
GAN,2025-12-15,22:15,0.0,0.0,3
GAN,2025-12-15,22:11,40.09176246767578,-93.66368098931076,3
GAN,2025-12-15,22:09,40.08944332507354,-93.66746242286304,3
GAN,2025-12-15,22:08,40.08958047847526,-93.66732359904206,3
GAN,2025-11-15,22:05,40.09871185922827,-93.66510459598608,3
GAN,2025-10-15,22:01,40.09557153484861,-93.65890564671912,3
GAN,2025-10-15,21:48,40.091835045624,-93.66419984345008,3
GAN,2025-10-15,21:22,40.08952222049767,-93.66751534856672,5
GAN,2025-09-15,21:22,0.0,0.0,5
GAN,2025-09-15,21:19,40.09198033835506,-93.66377836558968,3
GAN,2025-09-15,21:17,40.08944765769586,-93.66747980795724,5
GAN,2025-10-28,14:41,46.19884681982826,7.442038605933203,3
GAN,2025-10-18,22:30,0.0,0.0,5
GAN,2025-10-17,01:30,0.0,0.0,3
GAN,2025-08-24,23:10,46.19884722093886,7.442032121167839,3
GAN,2025-08-23,22:25,46.19883368484644,7.442057889097509,3
GAN,2025-08-22,20:56,44.1245184,15.2480724,3
GAN,2025-09-14,22:18,37.09453256455979,-80.11183651627613,3
GAN,2025-12-29,02:30,-42.88270869999999,147.1511206,3
GAN,2025-12-28,16:08,-42.88270869999999,147.1511206,3
GAN,2025-12-14,20:00,39.72554585527003,-91.37225408449012,5
GAN,2025-12-14,19:30,39.70549528290718,-91.44746732830754,5
GAN,2025-12-14,15:04,39.69389898582141,-91.4804606359155,5
GAN,2025-12-14,18:50,39.72754310936419,-91.44543842478797,5
GAN,2025-11-14,20:04,39.73055493444717,-91.39051212701446,5
GAN,2025-11-14,19:15,39.72409642697378,-91.3668229935876,5
GAN,2025-11-14,19:28,39.73816206004524,-91.38155858963728,5
GAN,2025-11-14,19:45,39.73960036594693,-91.38856887817384,5
GAN,2025-11-14,18:45,39.73808234498568,-91.4102840423584,5
GAN,2025-12-15,23:09,17.968704499587616,-66.17396178214716,9
GAN,2025-12-14,21:56,17.96870915659326,-66.17394924934433,7
GAN,2025-12-17,20:49,18.0125876,-66.0229888,9
GAN,2025-12-12,22:07,17.96870605863639,-66.17397136432675,9
GAN,2025-12-18,20:04,17.963580988993005,-66.10315282306411,5
GAN,2025-12-17,20:39,17.96357068491937,-66.10313691175145,7
GAN,2025-12-16,21:56,17.963562031548527,-66.10312259070467,7
GAN,2025-12-15,20:47,17.963561947012124,-66.10311046159963,7
GAN,2025-12-13,21:41,17.98772982508642,-66.05722098390795,5
GAN,2025-12-12,21:27,17.9877202808159,-66.0572479755138,5
GAN,2025-12-11,21:59,17.987713044441893,-66.05724780875885,5
GAN,2025-12-10,22:57,17.987718833502623,-66.05723016415438,5
GAN,2025-12-19,23:22,17.9758263,-66.1171616,9
GAN,2025-12-18,23:09,17.9758263,-66.1171616,9
GAN,2025-12-17,21:23,17.9721103,-66.0962228,9
GAN,2025-12-14,21:50,18.004073140212157,-65.88117031363768,9
GAN,2025-12-16,22:17,17.9758263,-66.1171616,9
GAN,2025-12-13,21:20,18.00300826703124,-65.8797913581147,9
GAN,2025-12-12,21:10,0.0,0.0,9
GAN,2025-12-16,20:00,0.0,0.0,9
GAN,2025-12-15,20:00,-27.890875984763323,23.789062499999982,9
GAN,2025-12-28,20:00,0.0,0.0,1
GAN,2025-12-13,20:00,0.0,0.0,5
GAN,2025-12-17,21:04,18.01224341105804,-66.01790270930117,7
GAN,2025-12-14,21:29,61.25398530717296,-149.3451135806098,5
GAN,2025-12-19,22:51,17.972119495060685,-66.1212725414043,9
GAN,2025-12-15,20:14,17.968540631936193,-66.17363940418669,3
GAN,2025-12-11,22:22,17.996234200445574,-66.04783529640235,9
GAN,2025-12-21,20:30,0.0,0.0,9
GAN,2025-12-18,20:07,0.0,0.0,9
GAN,2025-12-16,22:20,18.012785,-66.0229367,9
GAN,2025-12-12,08:00,0.0,0.0,3
GAN,2025-12-15,07:52,17.9746121,-66.092612,8
GAN,2025-12-12,20:45,18.012785,-66.0229367,9
GAN,2025-12-18,07:00,0.0,0.0,3
GAN,2025-11-17,08:00,-18.646245142670608,53.0859375,9
GAN,2025-12-17,08:00,0.0,0.0,3
GAN,2025-12-18,10:00,17.969135371371365,-66.13535549630139,5
GAN,2025-12-16,08:24,0.0,0.0,9
GAN,2025-12-12,08:00,-21.28937435586041,76.9921875,9
GAN,2025-12-11,08:00,0.0,0.0,9
GAN,2025-12-10,08:00,-33.13755119234614,153.984375,9
GAN,2025-12-16,13:59,0.0,0.0,9
GAN,2025-11-20,22:15,42.33836970000001,-83.8885552,9
GAN,2025-09-30,13:31,42.3436748,-83.8906525,8
GAN,2025-12-10,20:25,17.996197786105107,-66.0477619067669,9
GAN,2025-12-20,22:11,20.808444493071644,-100.52567387848374,5
GAN,2025-11-20,20:40,44.27614349232654,-72.41438129789546,3
GAN,2025-12-23,22:43,18.012785,-66.0229367,9
GAN,2025-12-20,21:01,27.429968134899383,-112.52703285968,3
GAN,2025-12-03,19:34,-55.77657301866768,56.25,5
GAN,2025-12-31,21:40,-8.636654048222805,116.59936859603616,9
GAN,2025-12-31,21:27,-8.636621425461867,116.59936450339528,9
GAN,2025-12-31,00:04,0.0,0.0,9
GAN,2025-12-30,23:08,42.08133482485631,12.542143939673258,8
GAN,2025-12-30,23:06,42.08133482485631,12.542143939673258,9
GAN,2025-12-19,22:15,36.81195031906404,-92.41830032192654,3
GAN,2025-12-30,03:40,38.88774616347763,-119.81833161629748,3
GAN,2025-12-30,00:35,0.0,0.0,9
GAN,2025-12-29,20:00,41.26921349376009,-96.00414734721988,9
GAN,2025-11-18,20:00,30.6761971,-97.9374948,7
GAN,2025-12-28,20:03,37.68060726673168,-106.58543699045602,7
GAN,2025-12-28,21:56,18.02617073,-65.98272705,9
GAN,2025-12-27,20:42,45.16471002338072,-87.77623289756887,5
GAN,2025-12-27,18:44,33.150118,-97.6872521,9
GAN,2025-12-26,22:20,34.48384467491508,-93.0771771369822,5
GAN,2025-12-26,22:20,34.5077615,-93.0546003,5
GAN,2025-12-26,23:01,18.012785,-66.0229367,9
GAN,2025-12-27,02:37,48.7528556,8.2445768,5
GAN,2025-12-27,00:16,52.73361902697505,-1.39420506145859,5
GAN,2025-12-22,20:57,18.012785,-66.0229367,9
GAN,2025-12-27,00:47,0.0,0.0,9
GAN,2025-12-27,00:43,6.427472593311088,105.6362109395277,9
GAN,2025-12-26,22:25,42.652327,141.6167431,8
GAN,2025-12-25,21:10,38.902016086452775,-9.04370743718858,9
GAN,2025-12-25,21:49,44.682456930208,37.788077678071154,8
